source,target,type,reason
Modification Rule for Repeated Terms,Linear Independence of Solutions,uses,The modification ensures the particular solution is linearly independent from complementary solutions.
Variation of Parameters Formula,Particular Solution,uses,Variation of parameters is an alternative general method for finding particular solutions.
Exponential Input Function Form,Method of Undetermined Coefficients,uses,This form specifies the guess structure for exponential nonhomogeneous terms.
Polynomial Input Function Form,Method of Undetermined Coefficients,uses,This form specifies the guess structure for polynomial nonhomogeneous terms.
Sinusoidal Input Function Form,Method of Undetermined Coefficients,uses,This form specifies the guess structure for trigonometric nonhomogeneous terms.
Wronskian in Variation of Parameters,Variation of Parameters Formula,prerequisite,The Wronskian is an essential component in the variation of parameters formula.
Variation of Parameters Formula,Complementary Solution,prerequisite,Variation of parameters requires knowing the two homogeneous solutions first.
Spring-Mass System Modeling,Second-Order Linear Differential Equation,prerequisite,Spring-mass systems are modeled using second-order linear ODEs with constant coefficients.
Simple Harmonic Motion,Spring-Mass System Modeling,prerequisite,Simple harmonic motion is the special case of spring-mass systems without damping or external forcing.
Simple Harmonic Motion,Homogeneous Linear Equation,prerequisite,Free vibration with no external force is modeled by a homogeneous equation.
Damped Harmonic Motion,Simple Harmonic Motion,prerequisite,Damped motion extends simple harmonic motion by adding a velocity-dependent damping term.
Resonance in Forced Oscillations,Modification Rule for Repeated Terms,uses,"Resonance occurs when forcing frequency matches natural frequency, requiring the modification rule for particular solutions."
Resonance in Forced Oscillations,Simple Harmonic Motion,prerequisite,Understanding natural frequency from simple harmonic motion is essential to identify resonance conditions.
RLC Circuit Modeling,Spring-Mass System Modeling,related_to,RLC circuits and spring-mass systems are mathematically analogous second-order systems with direct parameter correspondence.
Steady-State Solution,Particular Solution,prerequisite,The steady-state solution is the particular solution component that persists after transients decay.
Transient Solution Behavior,Complementary Solution,prerequisite,Transient behavior corresponds to the complementary solution which decays in damped systems.
Critical Damping Condition,Damped Harmonic Motion,prerequisite,Critical damping is the boundary case between overdamped and underdamped harmonic motion.
Steady-State Solution,Transient Solution Behavior,related_to,The complete solution separates into transient and steady-state components with distinct long-term behaviors.
Power Series Solution Method,Second-Order Linear Differential Equation,prerequisite,Series solutions apply specifically to second-order linear differential equations.
Ordinary Point of Differential Equation,Power Series Solution Method,prerequisite,Identifying ordinary points determines where standard power series solutions are valid.
Recurrence Relation for Coefficients,Power Series Solution Method,uses,The recurrence relation is derived from substituting the power series into the differential equation.
Radius of Convergence for Series Solution,Recurrence Relation for Coefficients,uses,The radius of convergence is determined from the recurrence relation or singularity locations.
Regular Singular Point,Ordinary Point of Differential Equation,related_to,Regular singular points are characterized by contrast to ordinary points where standard series fail.
Frobenius Method,Regular Singular Point,prerequisite,Frobenius method is specifically designed to handle regular singular points.
Indicial Equation,Frobenius Method,uses,The indicial equation determines the exponent r in the Frobenius series expansion.
Two Linearly Independent Series Solutions,Linear Independence of Solutions,prerequisite,The general solution requires two linearly independent solutions as established in earlier theory.
Two Linearly Independent Series Solutions,Recurrence Relation for Coefficients,uses,Both independent solutions are constructed using recurrence relations with different initial conditions or indicial roots.
u-Substitution Method,Integration by Parts Formula,prerequisite,IBP follows u-sub as the next integration technique
Product Rule for Derivatives,Integration by Parts Formula,related_to,IBP is the reverse of the product rule
u-Substitution Method,Trigonometric Substitution Selection,prerequisite,Trig sub is a specialized substitution
Definite Integral Definition,Type 1 Improper Integrals,prerequisite,Improper integrals extend definite integrals
Exponential Growth and Decay,Equilibrium Solutions of Logistic Equation,prerequisite,Logistic modifies exponential growth
Evaluating Limits at Infinity,Explicit Formula for Sequences,prerequisite,Sequence convergence is a limit as n → ∞
Type 1 Improper Integrals,p-Integral Test,prerequisite,Integral test uses improper integrals
Derivative at a Point,Taylor Series Definition,prerequisite,Taylor series uses all derivatives at a point
Arc Length Formula,Arc Length in Polar Coordinates,prerequisite,Polar arc length extends Cartesian
Derivative Function Notation,Geometric Interpretation of Partial Derivatives,prerequisite,Partial derivatives hold other variables fixed
Optimization Problem Setup,Geometric Interpretation of Lagrange Multipliers,prerequisite,Lagrange handles constrained optimization
